Name,Code,Month,Temperature
Afghanistan,004,7,26.343567
Albania,008,7,25.224277
Algeria,012,7,36.34693
American Samoa,ASM,7,26.53897
Andorra,AND,7,16.708893
Angola,024,7,20.419931
Anguilla,AIA,7,28.10147
Antigua and Barbuda,ATG,7,27.99405
Argentina,032,7,6.8791876
Armenia,051,7,18.100964
Australia,036,7,14.400742
Austria,040,7,18.55697
Azerbaijan,031,7,24.214033
Bahamas,BHS,7,28.852514
Bahrain,BHR,7,34.755768
Bangladesh,050,7,29.597494
Belarus,112,7,21.040722
Belgium,056,7,18.271757
Belize,084,7,27.379795
Benin,204,7,26.56264
Bhutan,064,7,16.028173
Bolivia,068,7,17.051374
Bosnia and Herzegovina,070,7,23.2511
Botswana,072,7,15.936189
Brazil,076,7,23.947191
Brunei,096,7,27.531536
Bulgaria,100,7,25.089928
Burkina Faso,854,7,27.884336
Burundi,108,7,22.125015
Cambodia,116,7,27.355747
Cameroon,120,7,24.216763
Canada,124,7,14.952409
Cape Verde,CPV,7,23.938797
Cayman Islands,CYM,7,29.11319
Central African Republic,140,7,25.16726
Chad,148,7,30.807728
Chile,152,7,4.6405616
China,156,7,21.312653
Colombia,170,7,24.236498
Comoros,COM,7,24.07286
Congo,178,7,24.65356
Cook Islands,COK,7,23.216705
Costa Rica,188,7,23.835987
Cote d'Ivoire,384,7,25.522812
Croatia,191,7,25.17858
Cuba,192,7,28.685547
Cyprus,196,7,29.564316
Czechia,203,7,20.065403
Democratic Republic of Congo,180,7,25.217566
Denmark,208,7,16.357672
Djibouti,262,7,34.73518
Dominican Republic,214,7,26.672844
East Timor,TLS,7,23.029575
Ecuador,218,7,20.835876
Egypt,818,7,32.72271
El Salvador,222,7,26.988705
Equatorial Guinea,226,7,23.564653
Eritrea,232,7,29.725138
Estonia,233,7,18.896439
Eswatini,748,7,16.653406
Ethiopia,231,7,23.692516
Falkland Islands,238,7,3.0273883
Faroe Islands,FRO,7,10.698651
Fiji,242,7,23.597712
Finland,246,7,17.37938
France,250,7,20.88865
French Polynesia,PYF,7,24.793869
Gabon,266,7,23.932898
Gambia,270,7,28.208612
Georgia,268,7,19.521349
Germany,276,7,18.889017
Ghana,288,7,26.535988
Greece,300,7,27.104853
Greenland,304,7,-3.7131274
Guatemala,320,7,24.45919
Guinea,324,7,24.99879
Guinea-Bissau,624,7,27.108778
Guyana,328,7,25.596449
Haiti,332,7,27.560387
Heard Island and McDonald Islands,HMD,7,0.5370178
Honduras,340,7,24.996004
Hong Kong,HKG,7,29.281092
Hungary,348,7,24.782986
Iceland,352,7,8.841651
India,356,7,27.646555
Indonesia,360,7,25.552124
Iran,364,7,31.988134
Iraq,368,7,36.72836
Ireland,372,7,14.285809
Isle of Man,IMN,7,14.040924
Israel,376,7,29.737148
Italy,380,7,24.57865
Jamaica,388,7,27.999445
Japan,392,7,24.879827
Jordan,400,7,30.193453
Kazakhstan,398,7,24.046043
Kenya,404,7,24.699404
Kiribati,KIR,7,27.162018
Kosovo,OWID_KOS,7,24.053051
Kuwait,414,7,39.337547
Kyrgyzstan,417,7,13.092563
Laos,418,7,25.462553
Latvia,428,7,19.163208
Lebanon,422,7,25.806622
Lesotho,426,7,4.128845
Liberia,430,7,24.656183
Libya,434,7,32.191643
Lithuania,440,7,19.602293
Luxembourg,442,7,18.144432
Madagascar,450,7,19.615587
Malawi,454,7,19.743357
Malaysia,458,7,26.605034
Mali,466,7,33.352962
Mauritania,478,7,34.689537
Mauritius,MUS,7,21.44063
Mexico,484,7,25.274075
Moldova,498,7,25.5987
Mongolia,496,7,21.340216
Montenegro,499,7,22.260723
Morocco,504,7,29.031
Mozambique,508,7,21.624893
Myanmar,104,7,26.095963
Namibia,516,7,15.568567
Nepal,524,7,20.776686
Netherlands,528,7,18.041666
New Caledonia,540,7,20.022348
New Zealand,554,7,6.129225
Nicaragua,558,7,26.319424
Niger,562,7,32.870377
Nigeria,566,7,26.443048
North Korea,408,7,22.89049
North Macedonia,MKD,7,24.34489
Norway,578,7,12.007644
Oman,512,7,35.04802
Pakistan,586,7,30.78899
Palestine,275,7,29.466263
Panama,591,7,25.784136
Papua New Guinea,598,7,23.193974
Paraguay,600,7,18.026487
Peru,604,7,18.388668
Philippines,608,7,26.768774
Poland,616,7,20.486168
Portugal,620,7,22.988024
Puerto Rico,630,7,27.829716
Qatar,634,7,37.2202
Romania,642,7,24.007202
Russia,643,7,17.285084
Rwanda,646,7,21.453762
Saint Helena,SHN,7,20.458893
Saint Vincent and the Grenadines,VCT,7,27.677643
Samoa,WSM,7,25.0382
Sao Tome and Principe,STP,7,24.097565
Saudi Arabia,682,7,36.169647
Senegal,686,7,29.116533
Serbia,688,7,24.60578
Seychelles,SYC,7,25.87882
Sierra Leone,694,7,24.690025
Slovakia,703,7,21.512789
Slovenia,705,7,22.160938
Solomon Islands,090,7,26.449038
Somalia,706,7,28.047722
South Africa,710,7,11.0282135
South Georgia and the South Sandwich Islands,SGS,7,-4.027559
South Korea,410,7,26.01336
South Sudan,728,7,26.790625
Spain,724,7,24.531157
Sri Lanka,144,7,28.362974
Sudan,729,7,31.900307
Suriname,740,7,26.34651
Sweden,752,7,15.386646
Switzerland,756,7,16.456959
Syria,760,7,31.811945
Taiwan,158,7,29.5
Tajikistan,762,7,14.204787
Tanzania,834,7,21.614988
Thailand,764,7,27.388132
Togo,768,7,26.00683
Trinidad and Tobago,780,7,27.168346
Tunisia,788,7,31.40857
Turkey,792,7,24.436699
Turkmenistan,795,7,31.953114
