Name,Code,Month,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,004,7,26.343567,25.746904,26.35759,26.718765,25.905117,27.24998,26.94002,26.360704,26.003355,26.06949,25.51733,25.84264,25.491098,25.378836,25.089945,24.93638,26.257914,24.903913,25.903175,25.206656,23.949873,26.140596,24.202986,25.35698,24.093788
Albania,008,7,25.224277,24.521437,23.876564,23.942287,22.632383,22.397936,22.090134,23.784187,22.826448,24.469418,20.87602,22.125778,24.598812,21.839548,21.919683,22.25603,22.171124,23.796307,21.848724,21.839767,21.90953,23.214651,22.261429,22.223553,21.828152
Algeria,012,7,36.34693,36.700188,34.77507,36.021896,34.900063,35.55051,36.429455,34.937267,34.771893,34.233856,35.244564,34.69155,34.981617,34.70789,34.91331,35.04752,35.00315,33.970924,34.34396,35.27245,33.7171,35.25165,34.96749,34.803444,34.194935
American Samoa,ASM,7,26.53897,26.899261,26.063507,26.645386,26.69107,26.66861,26.467072,26.693695,26.244446,26.073639,26.359833,26.207153,26.158966,26.375214,26.73758,26.348297,25.759674,26.88205,26.239594,26.13678,26.204987,26.133179,26.513977,26.472748,25.874847
Andorra,AND,7,16.708893,16.87973,17.668976,13.9227295,14.812164,16.479156,15.562775,16.074554,15.176086,17.72403,13.221161,14.783325,14.481232,13.1388855,15.774689,15.340485,14.624908,14.846893,16.639984,14.986389,14.265533,15.765991,13.914368,14.052826,13.495941
Angola,024,7,20.419931,20.37878,20.124968,19.74679,19.72793,20.9653,20.343708,20.589598,20.356987,21.24169,20.368921,20.326605,20.092691,19.625475,20.299206,19.831299,19.671103,19.58797,19.879528,20.093737,19.557917,19.795948,21.215757,19.618933,19.749346
Anguilla,AIA,7,28.10147,28.110199,27.094757,27.13562,27.517242,27.328766,26.88504,27.324554,27.16632,26.977936,26.85202,26.818481,27.287872,27.050995,27.577423,27.40689,27.033112,27.389862,27.177094,27.589905,26.99405,26.892944,26.873352,27.164154,26.894379
Antigua and Barbuda,ATG,7,27.99405,27.90512,26.924835,27.008667,27.398102,27.174469,26.738556,27.199554,27.117493,26.802155,26.818817,26.748169,27.080841,27.011932,27.630157,27.283844,26.88858,27.38205,27.200531,27.484436,26.871002,26.78357,26.920227,26.95517,26.736176
Argentina,032,7,6.8791876,8.657246,8.1921625,8.431547,6.350594,7.800612,6.308926,8.999312,7.203598,8.344792,8.076027,7.8336387,6.618408,6.987662,6.3153925,6.6980743,9.524695,5.5895367,9.536552,7.7823296,7.791714,7.6332183,6.9255414,6.9304333,5.1636686
Armenia,051,7,18.100964,18.13093,18.561756,18.869902,18.662691,18.695372,20.775969,19.44379,17.545202,19.421957,18.380114,17.412432,17.601297,19.412924,19.675583,17.466866,18.259434,17.249695,17.522467,19.114616,16.707397,17.272451,17.904776,18.17296,20.253014
Australia,036,7,14.400742,15.003061,13.766142,15.651658,14.912343,15.586634,15.287716,15.709526,14.966477,14.541755,14.404944,15.521183,13.575273,14.532008,14.896376,14.803242,14.5164585,14.451467,14.070494,15.120607,14.45994,14.903979,14.588005,14.355801,14.606927
Austria,040,7,18.55697,18.008564,17.941746,17.454748,16.658606,17.736814,17.427343,17.116554,17.359833,19.287962,16.536922,18.261961,16.645468,14.844667,17.993366,16.635601,15.993439,16.759186,18.84137,15.954678,15.461851,17.030334,16.629831,16.241995,13.936015
Azerbaijan,031,7,24.214033,24.138857,24.44766,24.908543,25.00844,24.527761,26.909243,25.06194,23.470917,25.02844,24.598848,23.469702,23.57287,26.014175,26.223564,24.929379,23.815273,22.895529,23.541851,25.32384,22.364485,22.754375,24.84681,24.290937,25.623919
Bahamas,BHS,7,28.852514,29.020742,27.940022,28.067297,28.272099,28.405493,27.924341,28.088762,28.449041,28.118528,27.98516,27.210035,27.53296,28.10791,28.051977,28.256594,27.850706,28.194122,27.476915,28.402699,27.719168,27.78285,27.765331,27.78705,27.751665
Bahrain,BHR,7,34.755768,33.838715,33.043976,34.22937,34.183258,33.623688,33.719025,33.45346,33.967102,33.151764,33.83249,33.195435,33.078888,32.90451,33.46805,33.272125,33.072174,33.434784,33.46225,32.357483,33.267487,33.449585,34.0589,33.2872,33.03305
Bangladesh,050,7,29.597494,29.769775,29.726677,28.919718,28.940615,28.91368,28.938068,28.451426,28.334753,28.222809,29.105455,28.857166,28.544632,28.665474,29.020988,28.684853,28.040417,28.018976,28.568926,28.255926,27.932722,28.655178,28.184523,28.253012,28.265768
Belarus,112,7,21.040722,18.653746,18.454887,22.564886,18.32256,17.026411,19.58457,17.561386,19.656485,18.516338,20.613289,18.639654,20.823048,20.347492,22.792643,18.777622,18.312494,17.865738,20.01093,19.477825,17.960989,20.116653,21.746214,22.314821,17.064705
Belgium,056,7,18.271757,17.957485,19.02568,17.43803,17.328173,18.842697,21.172148,18.266088,18.230272,18.586803,18.662342,19.382017,16.77073,15.437854,19.741827,17.96056,17.352674,16.66258,22.050821,17.876871,16.822336,18.845013,17.14731,18.379827,14.972011
Belize,084,7,27.379795,27.770216,27.097279,27.562574,27.728697,27.772356,27.032486,27.209782,27.439692,27.415157,27.358376,26.882315,26.733463,26.972666,27.27721,27.706991,26.624884,27.229887,26.667433,27.441864,26.775454,26.756834,26.895447,26.835888,26.277359
Benin,204,7,26.56264,27.039421,26.132235,26.405872,25.866833,26.101048,26.031086,26.207624,26.165726,26.534836,26.44879,25.963936,25.359516,26.420446,25.998371,26.060413,25.611984,25.783611,26.379604,25.632742,25.346806,25.555185,25.984478,25.683384,25.441965
Bhutan,064,7,16.028173,15.398913,15.549609,15.251557,14.954101,14.916835,15.44711,15.17455,14.699917,14.955252,15.356725,15.024354,15.0455885,14.664096,14.915365,15.234191,14.638795,14.570927,15.253785,14.437805,13.629411,14.29713,14.4600115,14.962968,14.423144
Bolivia,068,7,17.051374,19.00195,19.586802,17.475842,17.819952,17.483685,17.510885,18.028978,18.568613,17.43744,16.91087,17.3599,16.97848,17.931444,16.712101,17.151966,18.95141,16.8652,18.690039,16.936743,17.136644,17.326519,16.450739,17.627895,14.815801
Bosnia and Herzegovina,070,7,23.2511,22.41166,21.793085,22.259779,19.861963,20.414045,19.91128,21.342407,20.875313,22.583551,19.287157,20.338028,22.638866,20.399607,20.789381,20.845907,19.965672,21.696287,20.320694,19.734697,19.90825,20.82304,20.301352,19.848146,19.572552
Botswana,072,7,15.936189,14.996875,16.334576,13.562594,14.22132,15.643504,14.826658,16.048367,14.794859,15.858271,14.510325,16.021025,14.817975,13.152125,15.167829,13.090643,14.714,13.995519,15.688889,15.487186,13.861957,15.186476,15.405796,13.997448,13.918574
Brazil,076,7,23.947191,24.20843,24.171156,23.25873,23.758776,23.794615,24.015764,23.561108,24.367655,24.177187,23.789963,23.541058,23.593916,23.864624,23.850378,23.67607,23.776142,23.662092,23.97462,23.50419,23.141436,23.622564,23.88023,23.53249,22.497873
Brunei,096,7,27.531536,26.953104,26.881983,27.17067,26.580122,26.855213,27.25041,27.10473,26.556791,27.130156,26.785748,26.522713,26.320717,26.826042,26.296543,26.729527,26.03422,26.46714,26.910124,26.593401,26.044939,26.405256,27.105297,27.039244,26.98265
Bulgaria,100,7,25.089928,24.044746,23.068806,23.726595,22.337355,21.67712,21.671785,22.395487,22.872402,23.206799,21.449766,21.684967,25.256254,22.498062,21.917912,22.435669,21.771597,24.449642,21.100945,21.196253,21.169836,22.09597,22.914696,22.960503,23.547821
Burkina Faso,854,7,27.884336,28.459461,27.75449,27.862722,27.88297,27.874516,27.658361,27.667265,27.759336,28.184282,28.231363,27.83226,27.023441,28.061174,27.741587,27.949224,27.220446,27.628653,28.065592,27.340223,27.043165,27.074345,28.373613,27.374374,27.13715
Burundi,108,7,22.125015,21.21644,20.874525,20.570292,20.744278,21.009712,20.049429,21.620981,20.96312,21.141605,21.288496,20.668627,20.396618,20.532003,20.574932,20.21482,19.687864,20.240881,20.141697,20.149916,20.333849,19.673185,20.808233,19.673405,20.221483
Cambodia,116,7,27.355747,27.815796,27.369255,27.884407,28.075586,28.132357,27.450043,27.203661,27.559494,28.147625,27.42147,26.985378,27.435165,27.305506,27.882212,27.074038,27.476318,27.066227,26.93888,26.900206,27.216986,27.256607,28.13319,27.495977,26.651993
Cameroon,120,7,24.216763,24.468803,23.580912,23.807533,23.647041,23.73335,23.763226,23.681946,23.710154,23.94294,23.59814,22.994051,23.07164,23.4715,23.48969,23.69572,23.180918,23.315779,23.522453,23.262495,23.069391,23.1331,23.585459,22.774643,22.663214
Canada,124,7,14.952409,15.227692,14.591425,14.065857,14.790606,13.775192,14.096716,13.713312,14.275502,13.7082815,14.150007,13.3146105,15.000972,14.293019,14.451507,13.196936,13.773216,14.790937,13.982721,13.143194,13.453164,13.974161,13.544112,13.881628,13.944804
Cape Verde,CPV,7,23.938797,25.154318,23.691307,23.130354,24.143637,23.1269,22.812323,24.014622,23.578194,23.652174,22.910397,23.417297,23.782997,23.854084,24.151663,24.186768,23.768038,23.412321,23.739895,24.502403,24.059532,24.20746,22.659445,23.732458,23.34012
Cayman Islands,CYM,7,29.11319,29.532074,28.432648,28.430542,28.751617,28.7565,28.412384,28.58432,28.676086,28.370514,28.506317,28.0177,28.252716,28.02951,28.23172,28.602203,28.261627,28.530487,28.259125,28.337952,28.017487,28.21521,28.347961,28.289154,28.036957
